aa|https://aa.wikipedia.org/wiki/~{0}
ab|https://ab.wikipedia.org/wiki/~{0}
ace|https://ace.wikipedia.org/wiki/~{0}
acronym|http://www.acronymfinder.com/af-query.asp?String=exact&Acronym=~{0}
advisory|https://advisory.wikimedia.org/wiki/~{0}
advogato|http://www.advogato.org/~{0}
aew|http://wiki.arabeyes.org/~{0}
af|https://af.wikipedia.org/wiki/~{0}
ak|https://ak.wikipedia.org/wiki/~{0}
als|https://als.wikipedia.org/wiki/~{0}
am|https://am.wikipedia.org/wiki/~{0}
an|https://an.wikipedia.org/wiki/~{0}
ang|https://ang.wikipedia.org/wiki/~{0}
appropedia|http://www.appropedia.org/~{0}
aquariumwiki|http://www.theaquariumwiki.com/~{0}
ar|https://ar.wikipedia.org/wiki/~{0}
arborwiki|https://localwiki.org/ann-arbor/~{0}
arc|https://arc.wikipedia.org/wiki/~{0}
arxiv|http://arxiv.org/abs/~{0}
arz|https://arz.wikipedia.org/wiki/~{0}
as|https://as.wikipedia.org/wiki/~{0}
ast|https://ast.wikipedia.org/wiki/~{0}
atmwiki|http://www.otterstedt.de/wiki/index.php/~{0}
av|https://av.wikipedia.org/wiki/~{0}
ay|https://ay.wikipedia.org/wiki/~{0}
az|https://az.wikipedia.org/wiki/~{0}
azb|https://azb.wikipedia.org/wiki/~{0}
b|https://en.wikibooks.org/wiki/~{0}
ba|https://ba.wikipedia.org/wiki/~{0}
baden|http://www.stadtwiki-baden-baden.de/wiki/~{0}/
bar|https://bar.wikipedia.org/wiki/~{0}
bat-smg|https://bat-smg.wikipedia.org/wiki/~{0}
battlestarwiki|http://en.battlestarwiki.org/wiki/~{0}
bcl|https://bcl.wikipedia.org/wiki/~{0}
bcnbio|http://historiapolitica.bcn.cl/resenas_parlamentarias/wiki/~{0}
be|https://be.wikipedia.org/wiki/~{0}
be-tarask|https://be-x-old.wikipedia.org/wiki/~{0}
be-x-old|https://be-x-old.wikipedia.org/wiki/~{0}
beacha|http://www.beachapedia.org/~{0}
betawiki|https://translatewiki.net/wiki/~{0}
betawikiversity|https://beta.wikiversity.org/wiki/~{0}
bg|https://bg.wikipedia.org/wiki/~{0}
bh|https://bh.wikipedia.org/wiki/~{0}
bi|https://bi.wikipedia.org/wiki/~{0}
bjn|https://bjn.wikipedia.org/wiki/~{0}
bluwiki|http://bluwiki.com/go/~{0}
blw|http://britainloveswikipedia.org/wiki/~{0}
bm|https://bm.wikipedia.org/wiki/~{0}
bn|https://bn.wikipedia.org/wiki/~{0}
bo|https://bo.wikipedia.org/wiki/~{0}
botwiki|http://botwiki.sno.cc/wiki/~{0}
boxrec|http://www.boxrec.com/media/index.php?~{0}
bpy|https://bpy.wikipedia.org/wiki/~{0}
br|https://br.wikipedia.org/wiki/~{0}
brickwiki|http://www.brickwiki.info/wiki/~{0}
bs|https://bs.wikipedia.org/wiki/~{0}
bug|https://bug.wikipedia.org/wiki/~{0}
bugzilla|https://bugzilla.wikimedia.org/show_bug.cgi?id=~{0}
bulba|http://bulbapedia.bulbagarden.net/wiki/~{0}
bxr|https://bxr.wikipedia.org/wiki/~{0}
c|https://commons.wikimedia.org/wiki/~{0}
c2|http://c2.com/cgi/wiki?~{0}
c2find|http://c2.com/cgi/wiki?FindPage&value=~{0}
ca|https://ca.wikipedia.org/wiki/~{0}
cache|https://www.google.com/search?q=cache:~{0}
cbk-zam|https://cbk-zam.wikipedia.org/wiki/~{0}
cdo|https://cdo.wikipedia.org/wiki/~{0}
ce|https://ce.wikipedia.org/wiki/~{0}
ceb|https://ceb.wikipedia.org/wiki/~{0}
cellwiki|http://cell.wikia.com/wiki/~{0}
centralwikia|http://community.wikia.com/wiki/~{0}
ch|https://ch.wikipedia.org/wiki/~{0}
